"Rank","Player","Team","Position","Points","Games","Avg"
"356","Devin Asiasi","NE","TE","0.0","1","0.0"
"356","Ben Ellefson","JAC","TE","0.0","1","0.0"
"356","Matthew Slater","NE","WR","0.0","1","0.0"
"356","Bennie Fowler III","NO","WR","0.0","1","0.0"
"356","Corey Clement","PHI","RB","0.0","1","0.0"
"356","Andre Roberts","BUF","WR","0.0","1","0.0"
"356","Gabe Nabers","LAC","TE","0.0","1","0.0"
"482","J.J. Taylor","NE","RB","-0.1","1","-0.1"
"482","Tim Boyle","GB","QB","-0.1","1","-0.1"
"482","Kaden Smith","NYG","TE","-0.1","1","-0.1"
"482","Lynn Bowden Jr.","MIA","RB","-0.1","1","-0.1"
"486","Keke Coutee","HOU","WR","-0.9","1","-0.9"
"487","Philadelphia Eagles","PHI","DST","-1.0","1","-1.0"
"488","Drew Lock","DEN","QB","-1.2","1","-1.2"
"489","Benny Snell Jr.","PIT","RB","-1.9","1","-1.9"
"490","Cincinnati Bengals","CIN","DST","-2.0","1","-2.0"
"491","Dallas Cowboys","DAL","DST","-3.0","1","-3.0"
"491","Detroit Lions","DET","DST","-3.0","1","-3.0"
""
""
